"","Major","Gender","Admission"
"420","Other","M","Rejected"
"421","F","M","Rejected"
"422","D","F","Accepted"
"423","Other","M","Accepted"
"424","Other","M","Rejected"
"425","Other","M","Accepted"
"426","E","M","Rejected"
"427","F","M","Rejected"
"428","Other","F","Rejected"
"429","E","M","Rejected"
"430","B","M","Rejected"
"431","Other","M","Rejected"
"432","Other","M","Accepted"
"433","Other","M","Accepted"
"434","Other","F","Rejected"
"435","Other","M","Rejected"
"436","Other","F","Accepted"
"437","Other","M","Accepted"
"438","Other","F","Accepted"
"439","Other","M","Rejected"
"440","Other","M","Accepted"
"441","Other","F","Accepted"
"442","Other","F","Rejected"
"443","Other","F","Accepted"
"444","E","F","Accepted"
"445","C","F","Rejected"
"446","B","M","Accepted"
"447","Other","F","Rejected"
"448","Other","F","Accepted"
"449","Other","M","Accepted"
"450","Other","M","Rejected"
"451","Other","M","Accepted"
"452","F","F","Rejected"
"453","Other","M","Accepted"
"454","Other","F","Accepted"
"455","Other","M","Rejected"
"456","A","M","Rejected"
"457","Other","M","Rejected"
"458","B","M","Rejected"
"459","C","F","Rejected"
"460","Other","M","Accepted"
"461","B","M","Accepted"
"462","D","F","Accepted"
"463","Other","M","Accepted"
"464","Other","F","Rejected"
"465","Other","M","Rejected"
"466","E","F","Accepted"
"467","Other","F","Rejected"
"468","Other","M","Rejected"
"469","Other","M","Rejected"
"470","D","M","Accepted"
"471","Other","M","Accepted"
"472","Other","M","Accepted"
"473","Other","F","Rejected"
"474","C","F","Rejected"
"475","Other","M","Rejected"
"476","E","M","Accepted"
"477","Other","M","Rejected"
"478","Other","M","Rejected"
"479","Other","M","Rejected"
"480","Other","M","Rejected"
"481","Other","F","Rejected"
"482","A","M","Accepted"
"483","B","M","Accepted"
"484","Other","M","Rejected"
"485","Other","M","Rejected"
"486","Other","M","Rejected"
"487","Other","F","Rejected"
"488","Other","F","Rejected"
"489","Other","F","Rejected"
"490","Other","F","Rejected"
"491","A","M","Rejected"
"492","A","F","Accepted"
"493","Other","M","Accepted"
"494","Other","F","Rejected"
"495","E","M","Rejected"
"496","Other","M","Accepted"
"497","B","M","Accepted"
"498","Other","M","Rejected"
"499","F","M","Rejected"
"500","Other","M","Rejected"
"501","A","M","Accepted"
"502","Other","F","Rejected"
"503","C","F","Rejected"
"504","Other","F","Accepted"
"505","Other","M","Rejected"
"506","A","M","Accepted"
"507","Other","M","Accepted"
"508","F","M","Rejected"
"509","A","F","Accepted"
"510","Other","M","Rejected"
"511","Other","F","Rejected"
"512","B","M","Accepted"
"513","B","M","Accepted"
"514","D","M","Rejected"
"515","Other","F","Rejected"
"516","Other","M","Rejected"
"517","B","M","Rejected"
"518","C","F","Rejected"
"519","D","F","Rejected"
"520","Other","M","Accepted"
"521","Other","M","Rejected"
"522","Other","M","Rejected"
"523","Other","M","Accepted"
"524","Other","M","Accepted"
"525","Other","F","Rejected"
"526","Other","F","Rejected"
"527","Other","F","Accepted"
"528","Other","F","Rejected"
"529","D","F","Rejected"
"530","Other","M","Accepted"
"531","Other","F","Rejected"
"532","Other","M","Accepted"
"533","Other","M","Accepted"
"534","A","M","Accepted"
"535","Other","M","Rejected"
"536","Other","F","Rejected"
"537","Other","M","Rejected"
"538","D","M","Rejected"
"539","Other","F","Accepted"
"540","A","F","Accepted"
"541","B","M","Accepted"
"542","Other","M","Rejected"
"543","Other","M","Accepted"
"544","Other","F","Accepted"
"545","Other","M","Accepted"
"546","Other","F","Accepted"
"547","Other","F","Rejected"
"548","Other","M","Rejected"
"549","Other","M","Accepted"
"550","A","M","Accepted"
"551","Other","M","Accepted"
"552","Other","F","Rejected"
"553","Other","M","Accepted"
"554","Other","M","Rejected"
"555","A","M","Accepted"
"556","Other","M","Accepted"
"557","F","M","Rejected"
"558","D","F","Rejected"
"559","Other","M","Accepted"
"560","A","M","Rejected"
"561","B","M","Accepted"
"562","A","M","Accepted"
"563","B","M","Accepted"
"564","C","F","Rejected"
"565","Other","M","Rejected"
"566","Other","M","Accepted"
"567","Other","F","Accepted"
"568","E","F","Rejected"
"569","D","M","Rejected"
"570","A","M","Accepted"
"571","D","F","Rejected"
"572","C","F","Accepted"
"573","Other","M","Rejected"
"574","C","M","Rejected"
"575","Other","F","Accepted"
"576","Other","F","Rejected"
"577","B","M","Rejected"
"578","Other","M","Rejected"
"579","Other","M","Rejected"
"580","Other","M","Accepted"
"581","D","M","Rejected"
"582","Other","M","Rejected"
"583","D","M","Accepted"
"584","Other","M","Rejected"
"585","Other","F","Rejected"
"586","Other","M","Rejected"
"587","Other","F","Rejected"
"588","Other","F","Rejected"
"589","B","M","Accepted"
"590","Other","M","Rejected"
"591","Other","F","Accepted"
"592","Other","M","Accepted"
"593","Other","F","Accepted"
"594","Other","M","Rejected"
"595","C","F","Accepted"
"596","Other","F","Rejected"
"597","Other","F","Rejected"
"598","D","M","Rejected"
"599","A","M","Accepted"
"600","A","F","Accepted"
"601","Other","F","Rejected"
"602","Other","F","Rejected"
"603","A","M","Accepted"
"604","Other","M","Rejected"
"605","F","M","Rejected"
"606","F","M","Rejected"
"607","A","M","Accepted"
"608","D","F","Rejected"
"609","D","M","Accepted"
"610","Other","F","Accepted"
"611","Other","M","Accepted"
"612","Other","F","Accepted"
"613","D","F","Rejected"
"614","F","M","Rejected"
"615","Other","M","Accepted"
"616","Other","F","Accepted"
"617","Other","M","Rejected"
"618","A","M","Accepted"
"619","Other","M","Rejected"
"620","A","M","Accepted"
"621","Other","M","Accepted"
"622","Other","M","Rejected"
"623","Other","M","Accepted"
"624","F","M","Rejected"
"625","A","M","Accepted"
"626","Other","M","Accepted"
"627","Other","M","Accepted"
"628","Other","M","Accepted"
"629","Other","M","Accepted"
"630","Other","M","Accepted"
"631","C","F","Rejected"
"632","Other","M","Rejected"
"633","Other","M","Rejected"
"634","E","M","Accepted"
"635","Other","M","Rejected"
"636","C","M","Rejected"
"637","A","M","Accepted"
"638","Other","F","Rejected"
"639","Other","M","Rejected"
"640","A","M","Accepted"
"641","Other","M","Rejected"
"642","Other","M","Rejected"
"643","Other","M","Rejected"
"644","E","F","Rejected"
"645","Other","F","Rejected"
"646","Other","F","Accepted"
"647","Other","F","Accepted"
"648","A","M","Accepted"
"649","Other","M","Rejected"
"650","Other","M","Accepted"
"651","Other","F","Accepted"
"652","Other","M","Rejected"
"653","Other","M","Rejected"
"654","C","F","Accepted"
"655","Other","M","Rejected"
"656","A","M","Accepted"
"657","Other","F","Accepted"
"658","Other","F","Rejected"
"659","Other","M","Rejected"
"660","Other","M","Rejected"
"661","Other","M","Accepted"
"662","Other","M","Accepted"
"663","Other","F","Rejected"
"664","Other","M","Accepted"
"665","A","F","Rejected"
"666","A","M","Accepted"
"667","A","M","Rejected"
"668","Other","F","Accepted"
"669","Other","F","Accepted"
"670","D","F","Rejected"
"671","A","M","Rejected"
"672","Other","M","Rejected"
"673","D","M","Rejected"
"674","Other","M","Rejected"
"675","Other","F","Accepted"
"676","Other","M","Accepted"
"677","Other","M","Rejected"
"678","Other","M","Rejected"
"679","Other","M","Rejected"
"680","E","F","Rejected"
"681","Other","F","Accepted"
"682","E","M","Accepted"
"683","Other","F","Rejected"
"684","Other","M","Rejected"
"685","Other","F","Rejected"
"686","Other","F","Accepted"
"687","Other","F","Rejected"
"688","F","F","Rejected"
"689","Other","F","Rejected"
"690","Other","M","Accepted"
"691","E","F","Rejected"
"692","E","F","Rejected"
"693","A","M","Accepted"
"694","Other","M","Rejected"
"695","E","M","Rejected"
"696","Other","F","Accepted"
"697","Other","F","Accepted"
"698","A","F","Accepted"
"699","Other","M","Rejected"
"700","D","M","Rejected"
"701","Other","M","Rejected"
"702","Other","F","Accepted"
"703","A","M","Accepted"
"704","Other","M","Accepted"
"705","Other","M","Accepted"
"706","Other","M","Rejected"
"707","Other","F","Rejected"
"708","A","M","Accepted"
"709","Other","M","Rejected"
"710","A","M","Accepted"
"711","A","M","Rejected"
"712","D","F","Accepted"
"713","A","M","Rejected"
"714","D","F","Accepted"
"715","A","M","Rejected"
"716","Other","M","Rejected"
"717","Other","M","Rejected"
"718","Other","M","Rejected"
"719","Other","M","Rejected"
"720","A","M","Accepted"
"721","Other","F","Accepted"
"722","Other","M","Rejected"
"723","D","F","Accepted"
"724","A","M","Accepted"
"725","Other","F","Rejected"
"726","A","M","Accepted"
"727","Other","M","Accepted"
"728","C","F","Rejected"
"729","A","M","Rejected"
"730","Other","M","Accepted"
"731","Other","M","Accepted"
"732","Other","M","Accepted"
"733","Other","F","Rejected"
"734","E","M","Rejected"
"735","F","F","Rejected"
"736","Other","M","Rejected"
"737","Other","M","Accepted"
"738","A","M","Rejected"
"739","A","M","Accepted"
"740","Other","M","Accepted"
"741","F","F","Rejected"
"742","Other","M","Accepted"
"743","Other","F","Rejected"
"744","Other","M","Rejected"
"745","Other","F","Accepted"
"746","F","F","Rejected"
"747","Other","M","Rejected"
"748","C","F","Rejected"
"749","D","F","Rejected"
"750","Other","M","Accepted"
"751","F","F","Rejected"
"752","Other","F","Rejected"
"753","D","M","Rejected"
"754","Other","F","Rejected"
"755","Other","M","Accepted"
"756","Other","F","Accepted"
"757","Other","M","Accepted"
"758","E","M","Rejected"
"759","Other","M","Rejected"
"760","Other","F","Accepted"
"761","F","M","Rejected"
"762","Other","M","Rejected"
"763","Other","M","Rejected"
"764","Other","M","Rejected"
"765","B","M","Rejected"
"766","Other","M","Accepted"
"767","Other","F","Accepted"
"768","Other","M","Accepted"
"769","Other","M","Rejected"
"770","Other","M","Accepted"
"771","Other","F","Rejected"
"772","Other","M","Rejected"
"773","Other","M","Rejected"
"774","Other","M","Accepted"
"775","Other","M","Accepted"
"776","Other","M","Accepted"
"777","Other","M","Rejected"
"778","C","F","Rejected"
"779","Other","M","Rejected"
"780","Other","M","Rejected"
"781","Other","M","Rejected"
"782","D","M","Rejected"
"783","E","F","Rejected"
"784","Other","M","Rejected"
"785","Other","M","Rejected"
"786","Other","M","Accepted"
"787","Other","M","Rejected"
"788","B","M","Accepted"
"789","Other","F","Accepted"
"790","Other","F","Accepted"
"791","Other","M","Rejected"
"792","E","F","Rejected"
"793","Other","F","Rejected"
"794","Other","F","Rejected"
"795","Other","F","Rejected"
"796","Other","M","Rejected"
"797","C","F","Rejected"
"798","Other","M","Accepted"
"799","Other","M","Rejected"
"800","Other","M","Accepted"
"801","Other","M","Rejected"
"802","Other","M","Accepted"
"803","D","M","Rejected"
"804","Other","M","Rejected"
"805","D","F","Accepted"
"806","C","M","Accepted"
"807","E","F","Rejected"
"808","D","M","Rejected"
"809","E","M","Rejected"
"810","Other","M","Rejected"
"811","Other","F","Accepted"
"812","E","F","Accepted"
"813","Other","M","Rejected"
"814","A","M","Accepted"
"815","Other","M","Rejected"
"816","A","M","Accepted"
"817","A","M","Accepted"
"818","A","M","Rejected"
"819","Other","M","Accepted"
"820","Other","F","Accepted"
"821","Other","F","Rejected"
"822","Other","M","Accepted"
"823","E","F","Rejected"
"824","Other","M","Rejected"
"825","F","M","Rejected"
"826","D","M","Rejected"
"827","Other","M","Rejected"
"828","Other","M","Rejected"
"829","Other","F","Rejected"
"830","F","F","Accepted"
"831","D","F","Rejected"
"832","B","M","Rejected"
"833","B","M","Accepted"
"834","A","M","Rejected"
"835","Other","F","Rejected"
"836","Other","F","Rejected"
"837","B","M","Rejected"
"838","C","F","Rejected"
"839","Other","F","Accepted"
"840","Other","M","Rejected"
"841","A","F","Accepted"
"842","Other","F","Rejected"
"843","Other","M","Accepted"
"844","Other","M","Accepted"
"845","Other","M","Rejected"
"846","Other","F","Rejected"
"847","Other","M","Rejected"
"848","Other","F","Rejected"
"849","E","F","Accepted"
"850","Other","F","Rejected"
"851","Other","M","Rejected"
"852","Other","M","Accepted"
"853","Other","M","Accepted"
"854","Other","F","Rejected"
"855","Other","M","Rejected"
"856","Other","M","Accepted"
"857","Other","M","Rejected"
"858","Other","F","Accepted"
"859","Other","M","Accepted"
"860","Other","M","Rejected"
"861","Other","M","Rejected"
"862","Other","M","Rejected"
"863","Other","M","Accepted"
"864","E","F","Rejected"
"865","Other","M","Accepted"
"866","B","M","Rejected"
"867","D","F","Rejected"
"868","F","M","Rejected"
"869","F","F","Rejected"
"870","Other","F","Accepted"
"871","Other","F","Rejected"
"872","Other","M","Rejected"
"873","C","M","Rejected"
"874","Other","F","Rejected"
"875","Other","M","Rejected"
"876","C","M","Rejected"
"877","Other","M","Accepted"
"878","C","M","Accepted"
"879","B","M","Rejected"
"880","Other","M","Rejected"
"881","Other","M","Rejected"
"882","E","F","Rejected"
"883","F","F","Rejected"
"884","Other","M","Accepted"
"885","Other","F","Accepted"
"886","C","F","Accepted"
"887","E","F","Rejected"
"888","Other","M","Accepted"
"889","Other","M","Rejected"
"890","Other","M","Rejected"
"891","Other","M","Rejected"
"892","Other","M","Rejected"
"893","Other","M","Accepted"
"894","Other","M","Rejected"
"895","C","F","Rejected"
"896","Other","M","Accepted"
"897","Other","F","Accepted"
"898","Other","M","Rejected"
"899","D","F","Accepted"
"900","F","F","Rejected"
"901","D","F","Rejected"
"902","C","M","Rejected"
"903","C","F","Rejected"
"904","Other","F","Accepted"
"905","Other","M","Accepted"
"906","Other","M","Rejected"
"907","Other","M","Rejected"
"908","Other","M","Accepted"
"909","Other","M","Accepted"
"910","F","F","Rejected"
"911","Other","F","Rejected"
"912","Other","F","Rejected"
"913","Other","M","Accepted"
"914","Other","M","Rejected"
"915","Other","M","Accepted"
"916","D","M","Rejected"
"917","E","F","Rejected"
"918","Other","M","Accepted"
"919","Other","M","Rejected"
"920","Other","F","Rejected"
"921","Other","F","Accepted"
"922","Other","M","Accepted"
"923","Other","F","Rejected"
"924","Other","M","Rejected"
"925","C","M","Rejected"
"926","Other","M","Accepted"
"927","Other","M","Accepted"
"928","Other","M","Rejected"
"929","Other","M","Accepted"
"930","D","M","Rejected"
"931","Other","F","Rejected"
"932","F","F","Rejected"
"933","Other","F","Rejected"
"934","Other","F","Accepted"
"935","D","F","Rejected"
"936","C","F","Rejected"
"937","A","M","Accepted"
"938","Other","F","Rejected"
"939","D","F","Rejected"
"940","Other","F","Rejected"
"941","C","M","Rejected"
"942","Other","M","Rejected"
"943","A","M","Accepted"
"944","A","M","Rejected"
"945","Other","F","Accepted"
"946","Other","M","Accepted"
"947","F","M","Rejected"
"948","C","F","Rejected"
"949","D","F","Rejected"
"950","Other","F","Accepted"
"951","E","F","Rejected"
"952","E","M","Rejected"
"953","Other","F","Rejected"
"954","A","M","Accepted"
"955","Other","M","Rejected"
"956","E","M","Rejected"
"957","F","M","Accepted"
"958","Other","M","Rejected"
"959","C","F","Rejected"
"960","D","M","Rejected"
"961","A","M","Accepted"
"962","C","F","Accepted"
"963","A","M","Rejected"
"964","Other","F","Rejected"
"965","E","M","Rejected"
"966","B","M","Accepted"
"967","Other","F","Rejected"
"968","A","M","Accepted"
"969","Other","M","Rejected"
"970","Other","M","Rejected"
"971","Other","F","Rejected"
"972","Other","F","Rejected"
"973","Other","M","Accepted"
"974","Other","F","Accepted"
"975","C","F","Accepted"
"976","D","M","Rejected"
"977","C","F","Accepted"
"978","Other","M","Rejected"
"979","A","M","Accepted"
"980","Other","M","Rejected"
"981","Other","M","Rejected"
"982","Other","F","Accepted"
"983","Other","M","Accepted"
"984","C","F","Rejected"
"985","A","M","Accepted"
"986","B","M","Accepted"
"987","Other","F","Accepted"
"988","F","F","Rejected"
"989","A","M","Rejected"
"990","A","M","Accepted"
"991","Other","F","Rejected"
"992","Other","M","Rejected"
"993","Other","M","Rejected"
"994","D","M","Rejected"
"995","Other","M","Rejected"
"996","Other","M","Rejected"
"997","Other","M","Accepted"
"998","A","F","Accepted"
"999","C","F","Rejected"
"1000","E","M","Rejected"
"1001","C","M","Rejected"
"1002","Other","M","Accepted"
"1003","C","F","Rejected"
"1004","Other","F","Rejected"
"1005","A","M","Accepted"
"1006","C","F","Rejected"
"1007","F","M","Rejected"
"1008","Other","M","Accepted"
"1009","Other","F","Accepted"
"1010","Other","M","Accepted"
"1011","A","M","Rejected"
"1012","A","M","Accepted"
"1013","Other","F","Rejected"
"1014","Other","F","Rejected"
"1015","D","F","Rejected"
"1016","Other","M","Accepted"
"1017","B","M","Rejected"
"1018","D","F","Accepted"
"1019","Other","M","Rejected"
"1020","D","M","Rejected"
"1021","C","F","Accepted"
"1022","D","F","Rejected"
"1023","Other","M","Rejected"
"1024","E","M","Rejected"
